Platform,Name,Summary,Severity,Date,Discoverer,Customer action,References
GCP,Default compute account is project Editor,"When the compute API is enabled on a GCP Project, the default compute account is created. This account gets the primitive role Editor assigned by default, which allows for a wide variety of privilege excalation and resource abuse in the project. Especially, all new VMs created inherit this permissions by default. This issue is arguably a technical decision by GCP, but the documents advise customers to undo this.",Medium,Since the creation of GCP,,"Remove these permissions, it can be done via an organization policy",https://cloud.google.com/resource-manager/docs/organization-policy/restricting-service-accounts#disable_service_account_default_grants
AWS,Signature version 1 (SigV1) is insecure,"When making authenticated API requests to AWS, the requests must be signed with your AWS access key. The initial signing algorithm, SigV1, was vulnerable to collisions. A person-in-the-middle attack would be able to modify signed requests via specially constructed collisions.",Medium,"December 18th, 2008",Colin Percival,"N/A, SigV1 is deprecated at this point",http://www.daemonology.net/blog/2008-12-18-AWS-signature-version-1-is-insecure.html
AWS,AWS published official AMIs with recoverable deleted files,"Researchers, while investigating the security posture of Public AMIs, were able to undeleted 8,996 files from an official image that was published by Amazon AWS.",Low,"Jun 6, 2011","Marco Balduzzi, Jonas Zaddach, Davide Balzarotti, Engin Kirda, Sergio Loureiro",Follow [best practices](https://aws.amazon.com/articles/how-to-share-and-use-public-amis-in-a-secure-manner/) when sharing Public AMIs,http://seclab.nu/static/publications/sac2012ec2.pdf
AWS,Bypasses in IAM policies and over-privileged,"Repeated examples of AWS provided managed policies or guidance in documentation for policies with mistakes that allow the policies to by bypassed. Generically, there are also over-privileged policies and policies with spelling mistakes and other issues.",Medium,"November 17, 2017","Scott Piper, Duo Labs + Summit Route",Review the policies provided by AWS,"https://duo.com/blog/potential-gaps-in-suggested-amazon-web-services-security-policies-for-mfa, https://summitroute.com/blog/2019/06/18/aws_iam_managed_policy_review/, https://medium.com/ymedialabs-innovation/an-aws-managed-policy-that-allowed-granting-root-admin-access-to-any-role-51b409ea7ff0"
Azure,CSV Injection in Activity Log,"An Azure user can attempt (but fail) to create an Azure “Resource Group” with a malicious name. In setting this name as a Microsoft Excel formula, the system would reject the syntax (due to certain blacklisted characters) but still log the original string in the Azure “Activity Log”. When a victim user downloaded the – now infected – CSV logs and opened them in Excel, the attacker’s remote code was executed, compromising the user (and likely their Azure account as well). The single set of Activity Logs also means a lower-privileged user could use this attack to target administrative users.",Low,"December 21, 2017","Spencer Gietzen, Rhino Security Labs","CSV logs had a .txt appended, which should not be removed",https://rhinosecuritylabs.com/aws/cloud-security-csv-injection-aws-cloudtrail/
AWS,CSV Injection in Cloudtrail,"Users with ‘CreateTrail’ permissions within an AWS CloudTrail account can attempt to create a trail with a malicious Excel formula as the name. Although the attempt will fail, the event will be logged to AWS CloudTrail’s event history. This entry will include the “Resource name” column referring to the rejected name. This allows for an Excel formula to be injected into the CloudTrail logs. When another user exports that data as a .csv file and imports it into Excel, it allows an attacker to execute malicious code on user’s computer.",Low,"December 13, 2017","Spencer Gietzen, Rhino Security Labs",[Always disable links or macros from downloaded event history files](https://docs.aws.amazon.com/awscloudtrail/latest/userguide/view-cloudtrail-events-console.html#downloading-events),https://rhinosecuritylabs.com/aws/cloud-security-csv-injection-aws-cloudtrail/
AWS,Launching EC2s did not require specifying AMI owner: CVE-2018-15869,Attackers had put malicious AMIs in the marketplace,Medium,"August 13, 2018",Megan Marsh (https://github.com/SwampDragons),Update CLI and other tools that create EC2s,https://github.com/hashicorp/packer/issues/6584
AWS,Resource policy confused deputy issue with services,"Resource policies lacked a way of restricting service access to only your own account, allowing an attacker to leverage a service to potentially access your resources. Originally discovered by Dan Peebles and presented at re:Invent in 2018, this issue did not gain enough attention to be fixed until Shir Tamari and Ami Luttwak from Wiz presented it at Black Hat 2021.",Low,"November 28, 2018","Dan Peebles, Bridgewater",Update vulnerable IAM policies (add scoping condition),"https://www.youtube.com/watch?v=F3JmBhTQmyY&t=2475s, https://www.wiz.io/blog/black-hat-2021-aws-cross-account-vulnerabilities-how-isolated-is-your-cloud-environment"
Azure,Cloudshell terminal escape,If attacker controlled data is viewed in Cloudshell it could have led to code execution.,Medium,"January 9, 2019","Felix Wilhelm, Google",N/A,https://twitter.com/_fel1x/status/1083085715565621250
AWS,VPC Hosted Zones unauditable,"For 6 years, it was not possible to see what hosted zones an attacker may have created in an account.",Low,"May 13, 2019",Ryan Gerstenkorn (https://twitter.com/Ryan_Jarv/),Audit your VPC hosted zones,"https://twitter.com/__steele/status/1273748905826455552, https://blog.ryanjarv.sh/2019/05/24/backdooring-route53-with-cross-account-dns.html"
